Timestamp,Full Name,Email Address,Stellar Mainnet Public Wallet Address (G...),Rate Your Experience (1-5),Mainnet Production Feedback,Data Privacy Consent,Mainnet Transaction Hash (Proof)
08/07/2026 16:25:00,Yuki Tanaka,yuki.t@tokyoweb3.jp,GBFM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM55,5,Tested splitting 500 USDC on Mainnet. Both wallets received exact shares.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,80a47a4af20bef2ab096132fdd04a7dc53be9e6a8f14dca3a9011727b2ad903f
08/08/2026 10:08:00,Hannah Schmidt,hannah@berlindigital.de,GCN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLT66,4,Very fast settlement. Remainder dust routing worked as expected.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,d82a21aec5da3739fd84e6b7d6fd649920dd278dac8f25078dcd01026f1df261
08/09/2026 03:51:00,Lucas Silva,lucas.silva@rioagency.br,GDLMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLTN9M26L77,5,Our 3-person development squad uses SplitSync for all client retainers.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,52b35ec79710351f24cedf890ba66d0999a59b72a9114c69562475d566b3a5a2
08/09/2026 20:34:00,Fatima Zahra,fatima@casablancagig.ma,GA7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT88,5,Love the glassmorphism dark theme and live transaction hash inspector.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,6f3bad2788a497376cbb8098cc6a471803237933ce71498c63a887d56dbcef4c
08/10/2026 14:17:00,Vikram Patel,vikram@bangaloretech.in,GB2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL99,5,Sponsorship feature allowed our new team member to receive USDC with 0 XLM!,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,b41c615ca3cfaf7baf7d92dd449dd51cfce3215b98317ba2f15ae28d4afc047e
08/11/2026 08:00:00,Olivia Taylor,olivia@melbournedao.au,GC66J4V3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY00,4,Export CSV button in the Admin Panel made our monthly audit effortless.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,812da9301ae0581a99246b047ba20cbf32957294c3efc1c6cacb24858c689e24
08/11/2026 00:43:00,Noah Dubois,noah@pariscreatives.fr,GDV3Q8FM96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J411,5,Top tier Web3 product. Highly recommended for freelance contractors.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,36891c31e244ef1fbb4d75b3472699ad15e2dd99f48a6a3dd213f8137b1af5f1
08/11/2026 18:26:00,Isabella Rossi,isabella@milanostudio.it,GA96K2SPLTN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM22,5,Seamless token distribution with clear recipient percentages.,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,3c1dfd134f86783c9726a722baeab5ad146d30bd71dfe533ef9280d3b77cad1d
08/12/2026 12:09:00,Ethan Walker,ethan@torontoweb3.ca,GBN9M26LMDHY34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLT33,5,Best revenue splitting dApp on Stellar Soroban hands down!,I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,7f05f5d78718d618358df6df80a5c5a54c55315406bd1e0b79cc3b0e7d5ceb7f
08/13/2026 04:52:00,Mia Lindqvist,mia@nordicguild.se,GC34SPLT7WXYZ6QPL2N8HDY66J4V3Q8FM96K2SPLTN9M26LMDHY44,5,"Stable, fast, audited, and gasless. Ready for enterprise production.",I consent to having my feedback and mainnet transaction details recorded for SplitSync Level 6 evaluation.,08f01abec559385799751117ea8c0f5201c3e671f613939e40d4085b5a89e96a
